scenario,scenario_key,seed,cw_id,node_id,distance_from_cw1_m,vehicle_avg_wait_sec,vehicle_max_queue_veh,ped_avg_wait_sec,pet_mean_sec,pet_sample_count,elderly_pet_mean_sec,elderly_pet_sample_count,normal_pet_mean_sec,normal_pet_sample_count,severe_conflicts,medium_conflicts,elderly_severe_conflicts,normal_severe_conflicts,elderly_moderate_conflicts,normal_moderate_conflicts,elderly_incomplete_crossing,normal_incomplete_crossing,elderly_total_pedestrians,normal_total_pedestrians,total_pedestrians,elderly_risk_score,normal_risk_score,total_risk_score,spillback_count
S3,smart_multi,42,CW7,N5,250.0,,0,31.007058823529412,,0,,0,,0,0,0,0,0,0,0,18,31,119,285,404,0.0,0.0,0.0,0
S3,smart_multi,42,CW8,N8,427.2,56.120879120879124,0,0.03343465045592705,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S3,smart_multi,42,CW9,N1,200.0,64.44897959183673,0,19.37735849056604,39.34013605442177,147,34.47826086956522,23,40.24193548387097,124,18,0,3,15,0,0,3,17,58,328,386,0.12931034482758622,0.04573170731707317,0.05829015544041451,0
S3,smart_multi,42,CW10,N12,500.0,,0,28.52777777777778,,0,,0,,0,0,0,0,0,0,0,4,12,36,228,264,0.0,0.0,0.0,0
S1,baseline,43,CW1,N2,0.0,49.427385892116185,31,21.173202614379086,0.5270758122743683,277,0.21621621621621623,37,0.575,240,251,7,35,216,1,6,0,7,37,240,277,2.364864864864865,0.9,1.095667870036101,109
S1,baseline,43,CW2,N3,200.0,54.62222222222222,22,25.36774193548387,4.829861111111111,288,5.9714285714285715,70,4.463302752293578,218,260,1,62,198,0,1,2,11,70,218,288,2.2142857142857144,0.908256880733945,1.2256944444444444,0
S1,baseline,43,CW3,N6,150.0,134.3227848101266,22,13.27710843373494,0.6,60,0.0,8,0.6923076923076923,52,56,1,8,48,0,1,3,12,21,133,154,0.9523809523809523,0.3609022556390977,0.44155844155844154,0
S1,baseline,43,CW4,N7,250.0,51.747368421052634,8,22.754032258064516,10.632183908045977,87,12.071428571428571,14,10.356164383561644,73,61,0,11,50,0,0,0,14,36,190,226,0.7638888888888888,0.2631578947368421,0.34292035398230086,0
S1,baseline,43,CW5,N10,300.0,292.4390243902439,4,0.03587443946188341,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S1,baseline,43,CW6,N11,360.56,,0,0.04950495049504951,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S1,baseline,43,CW7,N5,250.0,,0,30.63849765258216,,0,,0,,0,0,0,0,0,0,0,15,24,118,288,406,0.0,0.0,0.0,0
S1,baseline,43,CW8,N8,427.2,51.903225806451616,0,0.03939393939393939,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S1,baseline,43,CW9,N1,200.0,60.666666666666664,0,21.661176470588234,46.25,144,46.5,22,46.204918032786885,122,11,0,1,10,0,0,4,13,58,325,383,0.04310344827586207,0.03076923076923077,0.03263707571801567,0
S1,baseline,43,CW10,N12,500.0,,0,27.972318339100347,,0,,0,,0,0,0,0,0,0,0,3,16,36,226,262,0.0,0.0,0.0,0
S2,smart_single,43,CW1,N2,0.0,43.326530612244895,31,19.25901639344262,0.49645390070921985,282,0.32432432432432434,37,0.5224489795918368,245,257,4,34,223,0,4,0,10,37,245,282,2.2972972972972974,0.9102040816326531,1.0921985815602837,124
S2,smart_single,43,CW2,N3,200.0,55.1509900990099,23,24.517684887459808,7.420138888888889,288,8.7,70,7.009174311926605,218,246,2,58,188,1,1,2,11,70,218,288,2.0714285714285716,0.8623853211009175,1.15625,0
S2,smart_single,43,CW3,N6,150.0,115.80124223602485,22,12.819277108433734,0.55,60,0.0,8,0.6346153846153846,52,57,0,8,49,0,0,4,10,21,133,154,0.9523809523809523,0.3684210526315789,0.44805194805194803,0
S2,smart_single,43,CW4,N7,250.0,51.2,8,23.754032258064516,9.482758620689655,87,8.0,14,9.767123287671232,73,67,0,12,55,0,0,1,9,36,190,226,0.8333333333333334,0.2894736842105263,0.37610619469026546,0
S2,smart_single,43,CW5,N10,300.0,220.04545454545453,6,0.026905829596412557,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S2,smart_single,43,CW6,N11,360.56,,0,0.059602649006622516,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S2,smart_single,43,CW7,N5,250.0,,0,31.427230046948356,,0,,0,,0,0,0,0,0,0,0,14,22,118,288,406,0.0,0.0,0.0,0
S2,smart_single,43,CW8,N8,427.2,51.340425531914896,0,0.02735562310030395,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S2,smart_single,43,CW9,N1,200.0,48.271186440677965,0,20.99058823529412,27.17241379310345,145,26.90909090909091,22,27.21951219512195,123,9,1,1,8,0,1,6,15,58,326,384,0.04310344827586207,0.024539877300613498,0.02734375,0
S2,smart_single,43,CW10,N12,500.0,,0,28.68041237113402,,0,,0,,0,0,0,0,0,0,0,2,16,36,226,262,0.0,0.0,0.0,0
S3,smart_multi,43,CW1,N2,0.0,43.13184584178499,30,19.301639344262295,0.524822695035461,282,0.21621621621621623,37,0.5714285714285714,245,255,8,34,221,2,6,0,5,37,245,282,2.2972972972972974,0.9020408163265307,1.0851063829787233,125
S3,smart_multi,43,CW2,N3,200.0,51.733333333333334,19,23.261290322580646,13.329749103942651,279,13.194029850746269,67,13.372641509433961,212,206,1,50,156,0,1,3,12,67,212,279,1.8656716417910448,0.7358490566037735,1.007168458781362,0
S3,smart_multi,43,CW3,N6,150.0,122.91411042944786,22,15.589285714285714,1.1,60,0.0,8,1.2692307692307692,52,56,0,8,48,0,0,0,1,21,133,154,0.9523809523809523,0.3609022556390977,0.44155844155844154,0
S3,smart_multi,43,CW4,N7,250.0,23.726315789473684,7,23.33467741935484,19.942528735632184,87,21.642857142857142,14,19.616438356164384,73,53,0,9,44,0,0,0,11,36,190,226,0.625,0.23157894736842105,0.2942477876106195,0
S3,smart_multi,43,CW5,N10,300.0,251.8695652173913,4,0.04054054054054054,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S3,smart_multi,43,CW6,N11,360.56,,0,0.0664451827242525,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
