cw_id,metric,metric_label,S1_mean,S1_sd,S1_mean_sd,S2_mean,S2_sd,S2_mean_sd,S3_mean,S3_sd,S3_mean_sd,S2_vs_S1_improvement_pct,S3_vs_S1_improvement_pct,elderly_risk_reduction_rate_pct,normal_risk_reduction_rate_pct,risk_reduction_rate_pct
CW9,medium_conflicts,중간 상충 건수,2.2,4.381780460041329,2.20±4.38,2.4,3.7815340802378072,2.40±3.78,1.8,4.024922359499622,1.80±4.02,-9.09090909090908,18.181818181818183,,,
CW9,elderly_severe_conflicts,고령자 심각 상충 건수,1.8,0.8366600265340756,1.80±0.84,1.8,1.30384048104053,1.80±1.30,1.8,2.1679483388678804,1.80±2.17,0.0,0.0,,,
CW9,normal_severe_conflicts,일반 보행자 심각 상충 건수,10.6,1.3416407864998738,10.60±1.34,10.8,3.5637059362410923,10.80±3.56,13.2,7.5960516059331775,13.20±7.60,-1.8867924528301987,-24.528301886792452,,,
CW9,elderly_incomplete_crossing,고령자 신호 내 횡단 미완료,5.2,1.3038404810405297,5.20±1.30,4.0,1.5811388300841898,4.00±1.58,3.6,1.3416407864998738,3.60±1.34,23.076923076923077,30.76923076923077,,,
CW9,normal_incomplete_crossing,일반 보행자 신호 내 횡단 미완료,16.6,4.159326868617084,16.60±4.16,16.0,2.345207879911715,16.00±2.35,16.2,3.1144823004794873,16.20±3.11,3.6144578313253093,2.40963855421688,,,
CW9,elderly_risk_score,고령자 가중 위험도(1인당),0.07700175336060784,0.03545922277923235,0.08±0.04,0.07714786674459381,0.05625981961993396,0.08±0.06,0.07744009351256576,0.09351399262865213,0.08±0.09,-0.18975332068310954,-0.5692599620493286,-0.18975332068310954,,
CW9,normal_risk_score,일반 보행자 위험도(1인당),0.032396008024436464,0.004091832960279559,0.03±0.00,0.03295150286054486,0.010810922841931176,0.03±0.01,0.040394154452524214,0.0233426795589847,0.04±0.02,-1.7147015017695455,-24.68867899419802,,-1.7147015017695455,
CW9,total_risk_score,통합 위험도(1인당),0.039137335803574536,0.006640669251393906,0.04±0.01,0.03962564540984727,0.01622277279127306,0.04±0.02,0.045969713511355995,0.03195012440074874,0.05±0.03,-1.2476822866111745,-17.457442024343,,,-1.2476822866111745
CW9,spillback_count,spillback 발생 횟수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW10,vehicle_avg_wait_sec,차량 평균 대기시간(초/대),,,NA,,,NA,,,NA,,,,,
CW10,vehicle_max_queue_veh,차량 최대 대기행렬(대),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW10,ped_avg_wait_sec,보행자 평균 대기시간(초/인),28.21133406399929,0.8699253650635378,28.21±0.87,28.997350077220414,0.8941196751770342,29.00±0.89,28.909327492361257,1.2377824259878676,28.91±1.24,-2.786171017074187,-2.474159594078479,,,
CW10,pet_mean_sec,PET 평균(초),,,NA,,,NA,,,NA,,,,,
