횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율,nan_flag,crossing_length_m,ped_green_base,ped_green_elderly,risk_score
24602,127.01263248957764,37.567742794780855,신당동,2.0,104.0,30.0,0.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,2.718197792295562
24603,127.0126384863038,37.567826488573466,신당동,2.0,104.0,30.0,1.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,3.218197792295562
22045,126.99296010460148,37.564519915986146,초동,3.0,104.0,50.0,0.0,26875.559786532827,동화동,0.2408064025934555,False,10.5,17.5,20.125,3.508064025934555
21867,126.98930936777228,37.56135631974088,충무로2가,2.0,104.0,50.0,0.0,26875.559786532827,명동,0.2357627618766598,False,7.0,14.0,15.75,3.157627618766598
21869,126.98024816582196,37.55973979809862,회현동1가,3.0,104.0,50.0,1.0,26875.559786532827,회현동,0.2946596858638743,False,10.5,17.5,20.125,4.546596858638743
21874,126.97564813040222,37.55704553737928,남대문로5가,3.0,104.0,50.0,1.0,26875.559786532827,중림동,0.1901991313611407,False,10.5,17.5,20.125,3.501991313611407
20727,126.99834063084737,37.56209541565467,충무로5가,2.0,104.0,50.0,0.0,26875.559786532827,동화동,0.2408064025934555,False,7.0,14.0,15.75,3.208064025934555
20728,126.99881497690107,37.56245128799641,충무로5가,2.0,104.0,50.0,0.0,26875.559786532827,동화동,0.2408064025934555,False,7.0,14.0,15.75,3.208064025934555
20729,126.99867411318236,37.56216750861053,충무로5가,1.0,104.0,30.0,0.0,26875.559786532827,동화동,0.2408064025934555,False,3.5,10.5,11.375,2.828064025934555
20732,126.99827450366028,37.56233113344013,충무로5가,3.0,104.0,50.0,1.0,26875.559786532827,동화동,0.2408064025934555,False,10.5,17.5,20.125,4.008064025934555
20733,126.99831618142262,37.56233955531872,충무로5가,3.0,104.0,50.0,1.0,26875.559786532827,동화동,0.2408064025934555,False,10.5,17.5,20.125,4.008064025934555
20735,126.99874310524478,37.56244213312795,충무로5가,2.0,104.0,50.0,1.0,26875.559786532827,동화동,0.2408064025934555,False,7.0,14.0,15.75,3.708064025934555
20739,127.01022006513789,37.564556895201086,신당동,1.0,104.0,30.0,0.0,26875.559786532827,신당동,0.1998197792295562,False,3.5,10.5,11.375,2.418197792295562
22106,126.99271573101822,37.56454736352745,초동,3.0,104.0,50.0,1.0,26875.559786532827,동화동,0.2408064025934555,False,10.5,17.5,20.125,4.008064025934555
23039,126.97335792896592,37.554385788992654,봉래동2가,2.0,,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,True,7.0,14.0,15.75,2.701991313611407
23040,126.97333207568764,37.55442692511792,봉래동2가,2.0,,50.0,8.0,26875.559786532827,중림동,0.1901991313611407,True,7.0,14.0,15.75,6.701991313611407
23041,126.9734097328192,37.554303361775474,남대문로5가,4.0,104.0,50.0,1.0,26875.559786532827,중림동,0.1901991313611407,False,14.0,21.0,24.5,3.801991313611407
23043,126.97105826574376,37.559459425488384,순화동,3.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,10.5,17.5,20.125,2.658596073765615
23046,126.97388063041478,37.55994012442326,봉래동1가,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
23050,126.98960911886464,37.56610331107596,을지로2가,3.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,10.5,17.5,20.125,2.658596073765615
23051,126.98994119005673,37.566119379968576,을지로3가,3.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,10.5,17.5,20.125,2.658596073765615
23053,126.98986353275656,37.566355091898,을지로3가,1.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,1.978596073765615
21803,127.01002581993288,37.564526565773065,광희동2가,3.0,104.0,50.0,0.0,26875.559786532827,광희동,0.1801559177888022,False,10.5,17.5,20.125,2.901559177888022
21805,127.01033344644652,37.56457459838878,신당동,1.0,104.0,30.0,0.0,26875.559786532827,신당동,0.1998197792295562,False,3.5,10.5,11.375,2.418197792295562
57739,126.97872948665886,37.55332153040159,남대문로5가,1.0,104.0,30.0,1.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.8219913136114068
57526,126.97872480246116,37.553707573973824,남대문로5가,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
